District,Building name,Last date of residence of the case(s),Related probable/confirmed cases,long_address,LatLong
Sha Tin,CCT Telecom Building (non-residential),18/03/2020,191,"CCT Telecom Building (non-residential), Sha Tin","22.39729,114.19755"
Sha Tin,CCT Telecom Building (non-residential),18/03/2020,217,"CCT Telecom Building (non-residential), Sha Tin","22.39729,114.19755"
Sha Tin,CCT Telecom Building (non-residential),18/03/2020,373,"CCT Telecom Building (non-residential), Sha Tin","22.39729,114.19755"
Tuen Mun,V city (non-residential),18/03/2020,193,"V city (non-residential), Tuen Mun","22.39548,113.97396"
Central & Western,"ICBC Tower, Garden Road (non-residential)",18/03/2020,195,"ICBC Tower, Garden Road (non-residential), Central & Western","22.27845,114.16095"
Central & Western,"ICBC Tower, Garden Road (non-residential)",18/03/2020,339,"ICBC Tower, Garden Road (non-residential), Central & Western","22.27845,114.16095"
Yau Tsim Mong,Boundary Street Sports Centre No. 2 (non-residential),18/03/2020,200,"Boundary Street Sports Centre No. 2 (non-residential), Yau Tsim Mong","22.3256,114.17093"
Yuen Long,Yuen Long Division Police Station (non-residential),18/03/2020,201,"Yuen Long Division Police Station (non-residential), Yuen Long","22.44102,114.03253"
Central & Western,Gloucester Tower (non-residential),18/03/2020,206,"Gloucester Tower (non-residential), Central & Western","22.2815,114.15777"
Sha Tin,89 Chik Fu Street (non-residential),18/03/2020,253,"89 Chik Fu Street (non-residential), Sha Tin","22.3744,114.17844"
Kwai Tsing,Hutchison Telecom Tower (non-residential),18/03/2020,259,"Hutchison Telecom Tower (non-residential), Kwai Tsing","22.36011,114.12001"
Central & Western,Nan Fung Place (non-residential),18/03/2020,270,"Nan Fung Place (non-residential), Central & Western","22.28597,114.15439"
Wan Chai,YF Life Tower (non-residential),18/03/2020,277,"YF Life Tower (non-residential), Wan Chai","22.29954,114.16813"
Central & Western,120 Connaught Road West (non-residential),18/03/2020,281,"120 Connaught Road West (non-residential), Central & Western","22.28834,114.14422"
Sham Shui Po,83 Hing Wah Street West (non-residential),18/03/2020,314,"83 Hing Wah Street West (non-residential), Sham Shui Po","22.32897,114.14338"
Sham Shui Po,95 Hing Wah Street West (non-residential),18/03/2020,314,"95 Hing Wah Street West (non-residential), Sham Shui Po","22.32782,114.14216"
Central & Western,18 Gilman's Bazaar (non-residential),18/03/2020,373,"18 Gilman's Bazaar (non-residential), Central & Western","22.28494,114.15416"
